market,architecture,strategy,confidence_pct,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WINN,cnn,single_bar,50,-0.6653602086105974,-29495.0,1105.9999999999993,880,0.6774319636092665
WINN,cnn,single_bar,25,-0.7404148210119018,-32050.0,1220.25,440,0.7435034804341698
WINN,cnn,single_bar,10,1.4944038567182056,-15235.0,1181.25,176,0.6764899295968239
WINN,cnn,single_bar,5,1.057187091824676,-11870.0,1153.7499999999998,88,0.8348785200056501
WINN,cnn,multi_bar,100,-3.8064373859742586,-86267.70948733098,620.1573364761425,1759,0.0007802620349592994
WINN,cnn,multi_bar,75,-3.5699343363892253,-64475.82144961727,620.1573364761425,1319,0.006353700286948709
WINN,cnn,multi_bar,50,-4.296099230343761,-52560.66411314113,620.1573364761425,880,0.007351695350775143
WINN,cnn,multi_bar,25,-2.2086563073100884,-28086.2934590457,620.1573364761425,440,0.3292533323272773
WINN,cnn,multi_bar,10,-0.4816856336937903,-13482.832056570565,620.1573364761425,176,0.8929888895869413
WINN,cnn,multi_bar,5,1.289275252135463,-10422.360047142138,620.1573364761425,88,0.7993450284772071
WINN,lstm,single_bar,100,-2.0916140283509703,-72240.0,1141.9999999999984,1759,0.06457253304235462
WINN,lstm,single_bar,75,-1.7798878990117322,-43725.0,1020.9999999999993,1319,0.17318658679443377
WINN,lstm,single_bar,50,-3.4555410620094884,-45225.0,1035.2499999999998,880,0.030960431839043887
WINN,lstm,single_bar,25,-1.5955436478613723,-15030.0,1042.4999999999989,440,0.4808261090447619
WINN,lstm,single_bar,10,0.9758090497736774,-5385.0,924.9999999999999,176,0.78523912931706
WINN,lstm,single_bar,5,4.055738421781707,-3460.0,932.9999999999999,88,0.4246896959547361
WINN,lstm,multi_bar,100,-5.103159013414598,-117266.52032999496,620.1573364761425,1759,6.8434660682624675e-06
WINN,lstm,multi_bar,75,-4.51687426569585,-78029.28285209241,620.1573364761425,1319,0.0005608145186581304
WINN,lstm,multi_bar,50,-5.106457300527526,-59222.70948733098,620.1573364761425,880,0.0014555087491483754
WINN,lstm,multi_bar,25,-4.726075579853872,-30555.192103712703,620.1573364761425,440,0.0371972389041092
WINN,lstm,multi_bar,10,-3.508363682866272,-13592.045374189853,620.1573364761425,176,0.3278351796780129
WINN,lstm,multi_bar,5,-0.45956479186944754,-4695.62934590457,620.1573364761425,88,0.927792131275561
WINN,hybrid,single_bar,100,-2.419930764390409,-75840.0,1160.9999999999993,1759,0.03251965378150519
WINN,hybrid,single_bar,75,-3.0183895252911492,-69205.0,1251.499999999999,1319,0.020984644135177206
WINN,hybrid,single_bar,50,-1.1135917858948756,-29915.0,1180.0,880,0.48634507450157777
WINN,hybrid,single_bar,25,-1.5470513814489708,-18325.0,1140.9999999999995,440,0.4942528770000329
WINN,hybrid,single_bar,10,-1.2226696539803652,-11665.0,1186.2499999999993,176,0.7327919546285463
WINN,hybrid,single_bar,5,-0.2801144125043454,-10205.0,1228.2499999999995,88,0.955949279581495
WINN,hybrid,multi_bar,100,-5.458274884704663,-119030.41897466197,620.1573364761425,1759,1.5126760222920324e-06
WINN,hybrid,multi_bar,75,-6.506570756096577,-109177.46434885182,620.1573364761425,1319,7.136520519764023e-07
WINN,hybrid,multi_bar,50,-4.583214741348711,-56091.608131997986,620.1573364761425,880,0.004252271543781719
WINN,hybrid,multi_bar,25,-3.878749290128299,-32781.92280495027,620.1573364761425,440,0.08700550351050082
WINN,hybrid,multi_bar,10,-9.704962517582388,-19993.933411903563,620.1573364761425,176,0.007306306657325781
WINN,hybrid,multi_bar,5,-11.590130583806534,-14243.14672952285,620.1573364761425,88,0.024312180450690203
