time,open,high,low,close,tick_volume,real_volume
2021-09-06 14:00:00,118255.0,118450.0,118125.0,118370.0,200195,723635
2021-09-08 06:00:00,117150.0,117920.0,117010.0,117890.0,625837,2093102
2021-09-08 07:00:00,117890.0,117980.0,116320.0,116330.0,1098449,4255959
2021-09-08 08:00:00,116330.0,116510.0,115055.0,115240.0,875714,3641628
2021-09-08 09:00:00,115245.0,115345.0,114785.0,115265.0,662693,2728398
2021-09-08 10:00:00,115270.0,115550.0,114670.0,115140.0,709874,2816006
2021-09-08 11:00:00,115140.0,115330.0,114555.0,115000.0,625328,2504544
2021-09-08 12:00:00,115005.0,115275.0,114575.0,114645.0,496443,2085989
2021-09-08 13:00:00,114645.0,114680.0,113570.0,113805.0,615351,2710604
2021-09-08 14:00:00,113810.0,114085.0,113610.0,113830.0,275971,1019187
2021-09-09 06:00:00,114570.0,114930.0,113500.0,114145.0,1236816,3897780
2021-09-09 07:00:00,114150.0,114750.0,113655.0,114230.0,1323308,4461258
2021-09-09 08:00:00,114230.0,114485.0,113840.0,113970.0,816691,2903242
2021-09-09 09:00:00,113970.0,114105.0,113100.0,113480.0,761562,2740306
2021-09-09 10:00:00,113485.0,114460.0,113475.0,114145.0,635403,2311623
2021-09-09 11:00:00,114145.0,114235.0,113005.0,113160.0,735320,2766968
2021-09-09 12:00:00,113160.0,113560.0,112815.0,113265.0,640997,2531470
2021-09-09 13:00:00,113265.0,117245.0,113010.0,115840.0,691419,2707064
2021-09-09 14:00:00,115845.0,117080.0,115455.0,117080.0,455402,1288842
2021-09-10 06:00:00,117250.0,118195.0,117250.0,117270.0,780958,2170224
2021-09-10 07:00:00,117275.0,117350.0,116125.0,116365.0,1218567,3819018
2021-09-10 08:00:00,116365.0,116580.0,115670.0,115880.0,919457,2963714
2021-09-10 09:00:00,115885.0,116345.0,115735.0,116030.0,654470,2107926
2021-09-10 10:00:00,116030.0,116505.0,115920.0,116250.0,526929,1721478
2021-09-10 11:00:00,116250.0,116405.0,114680.0,115580.0,899726,3013926
2021-09-10 12:00:00,115580.0,115985.0,115340.0,115750.0,592527,2062564
2021-09-10 13:00:00,115745.0,115865.0,114630.0,114785.0,533747,1909124
2021-09-10 14:00:00,114785.0,114995.0,114400.0,114680.0,328606,959980
2021-09-13 06:00:00,115600.0,116445.0,115515.0,116370.0,652484,1944852
2021-09-13 07:00:00,116365.0,116685.0,115875.0,116515.0,1316261,4157815
2021-09-13 08:00:00,116515.0,117150.0,116035.0,116960.0,1121575,3699927
2021-09-13 09:00:00,116960.0,117455.0,116630.0,117240.0,696164,2191905
2021-09-13 10:00:00,117235.0,117585.0,116980.0,117070.0,574269,1883030
2021-09-13 11:00:00,117065.0,117295.0,116740.0,116920.0,535298,1766640
2021-09-13 12:00:00,116920.0,117370.0,116530.0,117240.0,694083,2395119
2021-09-13 13:00:00,117240.0,117245.0,116625.0,116735.0,505358,1682176
2021-09-13 14:00:00,116735.0,117075.0,116680.0,116680.0,269204,806385
2021-09-14 06:00:00,116300.0,117145.0,115980.0,117015.0,912751,2607753
2021-09-14 07:00:00,117015.0,117735.0,116725.0,117015.0,1132719,3703379
2021-09-14 08:00:00,117010.0,117300.0,116525.0,116705.0,914358,3013151
2021-09-14 09:00:00,116700.0,117620.0,116675.0,117595.0,589287,2025600
2021-09-14 10:00:00,117595.0,117715.0,117250.0,117305.0,450775,1591954
2021-09-14 11:00:00,117305.0,117470.0,117015.0,117360.0,552425,1970067
2021-09-14 12:00:00,117360.0,117435.0,116825.0,116940.0,502431,1853497
2021-09-14 13:00:00,116940.0,116970.0,116200.0,116555.0,622658,2259730
2021-09-14 14:00:00,116560.0,116900.0,116325.0,116900.0,240041,732436
2021-09-15 06:00:00,116650.0,116980.0,116435.0,116770.0,714074,2032315
2021-09-15 07:00:00,116770.0,116770.0,115585.0,116040.0,1165159,3832666
2021-09-15 08:00:00,116040.0,116100.0,115260.0,115415.0,888648,2953050
2021-09-15 09:00:00,115415.0,115630.0,115105.0,115495.0,519211,1775482
2021-09-15 10:00:00,115500.0,115760.0,115265.0,115625.0,522680,1805207
2021-09-15 11:00:00,115625.0,115670.0,115115.0,115430.0,535271,1782548
2021-09-15 12:00:00,115425.0,115670.0,115320.0,115525.0,421580,1508181
2021-09-15 13:00:00,115525.0,115555.0,115235.0,115515.0,354648,1317869
2021-09-15 14:00:00,115510.0,115600.0,115410.0,115600.0,171326,518271
2021-09-16 06:00:00,114845.0,115130.0,114430.0,114555.0,842954,2450544
2021-09-16 07:00:00,114560.0,114850.0,113710.0,113875.0,1229067,3860185
